filename,adult_males,subadult_males,adult_females,juveniles,pups
train_patch_0000000.png,3,1,31,1,21
train_patch_0000001.png,1,1,7,2,6
train_patch_0000002.png,3,1,25,2,15
train_patch_0000003.png,2,0,21,1,10
train_patch_0000004.png,3,1,27,0,17
train_patch_0000005.png,1,0,32,2,16
train_patch_0000006.png,1,0,35,9,19
train_patch_0000007.png,1,0,7,3,3
train_patch_0000008.png,0,0,0,0,0
train_patch_0000009.png,2,1,0,1,0
train_patch_0000010.png,5,0,28,1,20
train_patch_0000011.png,3,3,47,0,36
train_patch_0000012.png,2,0,44,1,43
train_patch_0000013.png,1,0,8,0,4
train_patch_0000014.png,0,2,0,0,0
train_patch_0000015.png,0,0,0,1,0
train_patch_0000016.png,3,0,7,5,7
train_patch_0000017.png,6,0,29,3,30
train_patch_0000018.png,7,0,32,1,25
train_patch_0000019.png,3,1,26,2,19
train_patch_0000020.png,1,0,1,0,0
train_patch_0000021.png,2,2,0,0,0
train_patch_0000022.png,1,1,6,1,6
train_patch_0000023.png,2,0,15,4,12
train_patch_0000024.png,4,0,44,3,43
train_patch_0000025.png,2,0,43,3,31
train_patch_0000026.png,3,0,18,1,13
train_patch_0000027.png,5,1,8,0,0
train_patch_0000028.png,1,1,0,0,0
train_patch_0000029.png,0,1,0,1,0
train_patch_0000030.png,0,3,0,2,0
train_patch_0000031.png,1,5,0,0,0
train_patch_0000032.png,0,0,0,0,0
train_patch_0000033.png,1,2,0,0,0
train_patch_0000034.png,0,7,0,1,0
train_patch_0000035.png,0,2,0,2,0
train_patch_0000036.png,0,0,0,0,0
train_patch_0000037.png,0,0,0,0,0
train_patch_0000038.png,0,0,0,0,0
train_patch_0000039.png,0,1,0,0,0
train_patch_0000040.png,0,1,0,0,0
train_patch_0000041.png,0,1,0,1,0
train_patch_0000042.png,0,1,0,0,0
train_patch_0000043.png,0,0,0,1,0
train_patch_0000044.png,1,0,0,1,0
train_patch_0000045.png,0,2,0,3,0
train_patch_0000046.png,0,5,0,2,0
train_patch_0000047.png,0,3,0,0,0
train_patch_0000048.png,2,3,7,5,0
train_patch_0000049.png,2,0,0,0,0
train_patch_0000050.png,2,3,6,4,0
train_patch_0000051.png,0,0,0,0,0
train_patch_0000052.png,0,0,0,0,0
train_patch_0000053.png,0,0,0,0,0
train_patch_0000054.png,2,0,0,0,0
train_patch_0000055.png,1,1,0,0,0
train_patch_0000056.png,2,3,7,4,0
train_patch_0000057.png,0,0,1,1,0
train_patch_0000058.png,1,1,0,0,0
train_patch_0000059.png,0,0,0,0,0
train_patch_0000060.png,0,0,0,0,0
train_patch_0000061.png,0,0,0,0,0
train_patch_0000062.png,0,0,0,0,0
train_patch_0000063.png,5,1,32,0,21
train_patch_0000064.png,3,0,20,3,7
train_patch_0000065.png,3,1,8,0,3
train_patch_0000066.png,5,0,6,1,0
train_patch_0000067.png,2,0,18,3,7
train_patch_0000068.png,0,0,0,0,0
train_patch_0000069.png,5,2,19,0,11
train_patch_0000070.png,3,0,20,0,16
train_patch_0000071.png,4,0,12,5,0
train_patch_0000072.png,7,0,71,47,0
train_patch_0000073.png,7,0,78,48,0
train_patch_0000074.png,0,0,0,0,0
train_patch_0000075.png,0,0,0,0,0
train_patch_0000076.png,0,0,0,0,0
train_patch_0000077.png,5,0,46,19,0
train_patch_0000078.png,1,0,22,12,0
train_patch_0000079.png,0,0,0,0,0
train_patch_0000080.png,0,0,0,0,0
train_patch_0000081.png,0,0,0,0,0
train_patch_0000082.png,4,0,34,26,0
train_patch_0000083.png,1,0,17,11,0
train_patch_0000084.png,0,0,0,0,0
train_patch_0000085.png,0,0,0,0,0
train_patch_0000086.png,0,0,0,0,0
train_patch_0000087.png,0,0,14,1,8
train_patch_0000088.png,1,0,11,0,16
train_patch_0000089.png,1,0,2,0,2
train_patch_0000090.png,1,0,7,0,4
train_patch_0000091.png,0,0,1,0,1
train_patch_0000092.png,1,0,0,0,0
train_patch_0000093.png,1,0,1,0,1
train_patch_0000094.png,1,0,16,0,15
train_patch_0000095.png,2,0,7,0,5
train_patch_0000096.png,0,0,4,0,5
train_patch_0000097.png,1,0,3,1,3
train_patch_0000098.png,1,0,2,0,2
train_patch_0000099.png,1,0,16,0,16
train_patch_0000100.png,1,0,12,1,10
train_patch_0000101.png,0,0,1,0,2
train_patch_0000102.png,0,0,1,0,0
train_patch_0000103.png,2,0,5,0,1
train_patch_0000104.png,1,0,6,0,4
train_patch_0000105.png,1,0,0,0,0
train_patch_0000106.png,2,0,0,0,0
train_patch_0000107.png,0,0,0,0,0
train_patch_0000108.png,0,0,0,0,0
train_patch_0000109.png,1,0,0,0,0
train_patch_0000110.png,0,0,0,0,0
train_patch_0000111.png,0,0,0,0,0
train_patch_0000112.png,0,0,7,7,0
train_patch_0000113.png,1,1,6,9,0
train_patch_0000114.png,0,0,7,7,0
train_patch_0000115.png,0,0,0,0,0
train_patch_0000116.png,0,0,5,5,0
train_patch_0000117.png,0,0,1,0,0
train_patch_0000118.png,1,0,8,8,0
train_patch_0000119.png,0,1,11,2,0
train_patch_0000120.png,1,0,3,11,0
train_patch_0000121.png,0,0,0,0,0
train_patch_0000122.png,0,1,0,2,0
train_patch_0000123.png,0,2,10,14,0
train_patch_0000124.png,0,1,0,0,0
train_patch_0000125.png,0,0,0,0,0
train_patch_0000126.png,1,0,2,3,0
train_patch_0000127.png,0,0,0,0,0
train_patch_0000128.png,2,0,27,11,1
train_patch_0000129.png,1,0,30,10,3
train_patch_0000130.png,2,0,30,11,3
train_patch_0000131.png,1,0,0,2,1
train_patch_0000132.png,0,0,2,1,0
train_patch_0000133.png,1,0,30,11,3
train_patch_0000134.png,0,0,0,0,0
train_patch_0000135.png,0,0,0,0,0
train_patch_0000136.png,0,0,0,0,0
train_patch_0000137.png,0,4,0,5,0
train_patch_0000138.png,0,0,0,0,0
train_patch_0000139.png,0,3,0,3,0
train_patch_0000140.png,0,2,0,3,0
train_patch_0000141.png,0,0,0,0,0
train_patch_0000142.png,0,0,0,0,0
train_patch_0000143.png,0,0,0,0,0
train_patch_0000144.png,0,0,0,0,0
train_patch_0000145.png,0,0,0,0,0
train_patch_0000146.png,0,0,0,0,0
train_patch_0000147.png,0,0,0,0,0
train_patch_0000148.png,1,0,3,1,2
train_patch_0000149.png,2,2,0,0,0
train_patch_0000150.png,1,5,0,0,0
train_patch_0000151.png,0,0,0,0,0
train_patch_0000152.png,0,0,0,0,0
train_patch_0000153.png,4,4,0,0,0
train_patch_0000154.png,2,4,0,0,0
train_patch_0000155.png,0,1,0,0,0
train_patch_0000156.png,1,4,0,0,0
train_patch_0000157.png,1,0,0,0,0
train_patch_0000158.png,1,4,0,3,0
train_patch_0000159.png,1,0,0,0,0
train_patch_0000160.png,0,0,0,0,0
train_patch_0000161.png,0,0,0,0,0
train_patch_0000162.png,1,0,0,0,0
train_patch_0000163.png,2,0,0,0,0
train_patch_0000164.png,0,0,0,0,0
train_patch_0000165.png,1,0,0,0,0
train_patch_0000166.png,1,0,0,0,0
train_patch_0000167.png,0,0,0,0,0
train_patch_0000168.png,0,0,0,0,0
train_patch_0000169.png,0,0,0,0,0
train_patch_0000170.png,1,1,0,0,0
train_patch_0000171.png,1,4,0,3,0
